=== FINAL SESSION METRICS ===
Timestamp: 2026-03-23 20:45:45
Session Duration: 03:16:43
Total Orders: 5158
Total Trades: 522
Total Fees: 8.0859 USDT
Final Balance: 26.85 USDT
Overall Win Rate: 26.2%
Average TPM: 2.65

=== ACTIVE ASSET LIST ===
LDOUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.20
AXSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
HUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.04
INJUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.74
ANKRUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.37
OPNUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.01
POWERUSDT: Trades: 3 | Win%: 0.0% | PnL: -1.04
HUMAUSDT: Trades: 4 | Win%: 75.0% | PnL: 0.03
ORDERUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.53
DASHUSDT: Trades: 3 | Win%: 0.0% | PnL: -1.74
OPENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
APPUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.00
JUPUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BRETTUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.13
NAORISUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.01
CFXUSDT: Trades: 3 | Win%: 0.0% | PnL: -1.03
ALGOUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.43
SANDUSDT: Trades: 5 | Win%: 0.0% | PnL: -1.24
ENJUSDT: Trades: 3 | Win%: 100.0% | PnL: 0.66
CHZUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PHAUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.01
COPPERUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PYTHUSDT: Trades: 5 | Win%: 0.0% | PnL: -1.73
ZENUSDT: Trades: 3 | Win%: 0.0% | PnL: -1.35
ARUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.38
STRKUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ROBOUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.52
MANTRAUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.41
ASMLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TSMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BANUSDT: Trades: 3 | Win%: 66.7% | PnL: -0.42
CFGUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PARTIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FUTUUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BABAUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.00
CAKEUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.00
SPXUSDT: Trades: 3 | Win%: 0.0% | PnL: -0.20
STXUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.99
ZKUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.00
ARMUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.80
XANUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.01
BABYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ORCLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KERNELUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.58
EIGENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BROCCOLIUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.80
PNUTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
龙虾USDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
VELVETUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.00
MORPHOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ESPUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.81
FLUIDUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
PEOPLEUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.36
AINUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.76
SXTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MONUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
1MBABYDOGEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MOODENGUSDT: Trades: 5 | Win%: 40.0% | PnL: -1.67
SKYAIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TRBUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.40
BLESSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CROUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.86
OXYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DENTUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.08
ENSUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.76
THEUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.03
QNTUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.03
FIGHTUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.12
PENDLEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
DYMUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.02
1000SATSUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
STABLEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
IOTAUSDT: Trades: 4 | Win%: 0.0% | PnL: -0.41
ORDIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
JSTUSDT: Trades: 3 | Win%: 0.0% | PnL: -1.04
REZUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.01
POLYXUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.96
VETUSDT: Trades: 4 | Win%: 50.0% | PnL: -0.69
PLUMEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GRIFFAINUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AVGOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MMTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
SUSDT: Trades: 3 | Win%: 33.3% | PnL: -0.14
ANIMEUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.00
ZILUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BANANAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MERLUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.87
SKYUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.00
MRVLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MUBARAKUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
TUTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
BIOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
INXUSDT: Trades: 2 | Win%: 50.0% | PnL: 0.01
SPACEUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.01
MASKUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.22
WETUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.18
RDNTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
FLOKIUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.82
CSCOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
USELESSUSDT: Trades: 4 | Win%: 75.0% | PnL: -0.65
BIRBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AIXBTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RAYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
RAVEUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.90
PIEVERSEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
OLUSDT: Trades: 1 | Win%: 100.0% | PnL: 0.10
LABUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
CUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
IBMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NILUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.65
FRAXUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AGLDUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.01
ALICEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AZTECUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
UBUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
STGUSDT: Trades: 2 | Win%: 100.0% | PnL: 0.25
ROSEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
QUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
JASMYUSDT: Trades: 4 | Win%: 0.0% | PnL: -1.86
XVGUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.92
MELANIAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
GEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MANAUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
NOTUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.62
2ZUSDT: Trades: 2 | Win%: 0.0% | PnL: -0.01
UNHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LAUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.84
SUSHIUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COOKIEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
APEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
IOUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LLYUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ZAMAUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.34
WUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
INITUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.26
SKRUSDT: Trades: 3 | Win%: 0.0% | PnL: -1.27
BASUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
KGENUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
ALCHUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
AXLUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
WMTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
C98USDT: Trades: 1 | Win%: 0.0% | PnL: -0.97
LPTUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
LUNCUSDT: Trades: 1 | Win%: 0.0% | PnL: -0.98
STORJUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
COWUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
MEWUSDT: Trades: 2 | Win%: 0.0% | PnL: -1.20
FORMUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
IMXUSDT: Trades: 3 | Win%: 0.0% | PnL: -2.93
MOVEUSDT: Trades: 0 | Win%: 0.0% | PnL: 0.00
