=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-24 10:40:35
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
10M  70     20     30     60     50     70     -1     1      0      0      1        1      100.0% 0.02      
10M  70     20     40     30     10     30     0      -1     -1     -1     1        0      0.0% -0.93     
10M  70     20     40     30     10     80     0      -1     -1     -1     1        0      0.0% -0.55     
10M  70     20     40     30     60     60     -1     -1     0      0      1        0      0.0% -0.19     
10M  70     20     40     30     80     80     0      -1     1      1      1        1      100.0% 0.26      
10M  70     20     60     40     10     20     1      0      -1     -1     1        1      100.0% 0.01      
10M  70     20     60     70     60     60     -1     0      -1     -1     1        1      100.0% 0.35      
10M  70     20     80     70     100    90     0      -1     0      0      1        0      0.0% -0.22     
10M  70     20     80     80     80     70     -1     0      1      1      1        1      100.0% 0.48      
10M  70     20     80     100    40     40     0      0      -1     -1     1        1      100.0% 0.14      
10M  70     20     90     70     90     100    1      0      -1     -1     1        1      100.0% 0.20      
10M  70     20     90     80     90     80     0      0      -1     -1     1        0      0.0% -0.55     
10M  70     20     90     90     50     50     0      1      -1     -1     1        1      100.0% 0.07      
10M  70     30     20     70     90     70     -1     1      1      1      1        1      100.0% 0.13      
10M  70     30     30     70     30     40     -1     0      -1     -1     1        1      100.0% 0.04      
10M  70     30     40     30     50     50     0      -1     0      0      1        1      100.0% 0.06      
10M  70     30     50     20     10     80     0      -1     0      0      1        1      100.0% 0.28      
10M  70     30     50     20     50     40     -1     0      -1     -1     1        1      100.0% 0.04      
10M  70     30     60     10     20     30     1      0      -1     -1     1        1      100.0% 0.10      
10M  70     30     70     50     20     60     1      0      1      1      1        1      100.0% 0.35      
10M  70     30     80     40     40     100    1      0      1      1      1        1      100.0% 0.14      
10M  70     30     80     60     60     50     -1     0      -1     -1     1        1      100.0% 0.44      
10M  70     30     80     70     70     70     0      0      -1     -1     1        0      0.0% -0.68     
10M  70     40     30     20     40     40     0      -1     0      0      1        1      100.0% 0.20      
10M  70     40     50     20     10     50     1      0      -1     -1     1        0      0.0% -0.22     
10M  70     50     40     20     40     40     -1     1      0      0      1        1      100.0% 0.25      
10M  70     50     70     50     50     50     1      -1     -1     -1     1        1      100.0% 0.73      
10M  70     50     80     70     90     70     0      0      1      1      1        1      100.0% 0.27      
10M  70     50     100    10     30     30     1      -1     0      0      1        0      0.0% -0.27     
10M  70     50     100    60     90     70     1      0      -1     -1     1        0      0.0% -0.67     
10M  70     60     10     100    70     70     0      1      1      1      1        1      100.0% 0.17      
10M  70     80     70     60     60     50     0      1      -1     -1     1        0      0.0% -0.93     
10M  70     90     90     40     80     60     0      1      0      0      1        0      0.0% -0.40     
10M  70     100    10     50     10     100    0      0      -1     -1     1        1      100.0% 0.59      
10M  80     20     20     60     60     70     1      0      1      1      1        0      0.0% -0.38     
10M  80     20     30     70     70     90     0      1      1      1      1        1      100.0% 0.15      
10M  80     20     70     40     50     30     0      0      -1     -1     1        0      0.0% -0.46     
10M  80     20     70     40     100    90     0      0      -1     -1     1        1      100.0% 0.99      
10M  80     20     90     60     60     50     -1     0      -1     -1     1        0      0.0% -0.71     
10M  80     20     100    100    50     80     -1     1      0      0      1        0      0.0% -0.95     
10M  80     30     40     30     100    60     -1     0      1      1      1        1      100.0% 0.14      
10M  80     30     40     50     50     40     -1     0      1      1      1        1      100.0% 0.02      
10M  80     30     50     30     10     70     0      -1     0      0      1        0      0.0% -0.35     
10M  80     30     60     40     90     80     0      -1     0      0      1        0      0.0% -0.32     
10M  80     30     70     10     50     50     0      1      0      0      1        1      100.0% 0.53      
10M  80     30     70     60     30     60     1      0      1      1      1        1      100.0% 0.13      
10M  80     30     90     50     60     70     0      -1     -1     -1     1        0      0.0% -0.53     
10M  80     30     100    90     80     100    0      0      -1     -1     1        1      100.0% 0.15      
10M  80     40     50     30     30     70     -1     0      -1     -1     1        0      0.0% -0.44     
10M  80     50     20     100    90     100    0      1      0      0      1        0      0.0% -0.68     
10M  80     70     50     10     20     40     1      -1     0      0      1        0      0.0% -0.56     
10M  80     70     70     70     90     60     1      -1     0      0      1        0      0.0% -0.39     
10M  80     80     10     100    90     100    -1     0      -1     -1     1        1      100.0% 0.82      
10M  80     90     50     20     40     40     -1     1      -1     -1     1        1      100.0% 0.18      
10M  80     90     90     100    80     100    -1     -1     0      0      1        0      0.0% -0.38     
10M  80     90     100    100    100    100    0      0      -1     -1     1        0      0.0% -0.40     
10M  90     20     10     40     30     50     0      0      1      1      1        1      100.0% 0.64      
10M  90     20     10     100    100    100    -1     0      -1     -1     1        0      0.0% -1.00     
10M  90     20     50     30     10     50     -1     0      1      1      1        0      0.0% -0.50     
10M  90     20     60     40     90     100    0      0      -1     -1     1        1      100.0% 0.94      
10M  90     20     70     40     90     80     0      -1     0      0      1        0      0.0% -0.43     
10M  90     20     70     50     70     100    0      0      1      1      1        1      100.0% 0.11      
10M  90     20     70     70     20     100    0      0      -1     -1     1        0      0.0% -0.35     
10M  90     20     70     70     30     30     0      -1     0      0      1        1      100.0% 0.05      
10M  90     20     80     60     80     100    0      0      1      1      1        1      100.0% 0.06      
10M  90     30     20     60     70     90     -1     0      1      1      1        0      0.0% -0.57     
10M  90     30     40     10     60     50     1      1      0      0      1        0      0.0% -0.73     
10M  90     30     70     40     100    80     1      -1     0      0      1        0      0.0% -0.57     
10M  90     30     70     70     100    30     -1     -1     0      0      1        1      100.0% 0.06      
10M  90     30     90     90     80     100    0      0      1      1      1        1      100.0% 0.19      
10M  90     30     100    80     100    90     0      -1     -1     -1     1        0      0.0% -0.59     
10M  90     30     100    80     100    100    0      1      0      0      1        0      0.0% -0.40     
10M  90     40     60     30     60     70     1      -1     1      1      1        1      100.0% 0.11      
10M  90     40     60     50     100    90     1      -1     0      0      1        1      100.0% 0.18      
10M  90     50     100    90     90     100    -1     0      -1     -1     1        1      100.0% 0.41      
10M  90     70     60     30     10     90     1      -1     1      1      1        0      0.0% -0.92     
10M  90     100    70     50     70     80     0      -1     -1     -1     1        0      0.0% -0.54     
10M  100    20     10     50     100    100    -1     1      0      0      1        1      100.0% 0.30      
10M  100    20     10     60     100    70     0      0      1      1      1        1      100.0% 1.04      
10M  100    20     10     80     100    100    1      0      1      1      1        1      100.0% 0.31      
10M  100    20     10     100    100    10     0      1      0      0      1        0      0.0% -0.88     
10M  100    20     20     40     90     100    -1     0      1      1      1        0      0.0% -0.88     
10M  100    20     20     70     100    100    0      1      -1     -1     1        0      0.0% -0.88     
10M  100    20     30     100    80     100    0      1      1      1      1        0      0.0% -0.98     
10M  100    20     40     30     60     50     0      -1     1      1      1        1      100.0% 0.20      
10M  100    20     40     40     70     40     1      0      -1     -1     1        1      100.0% 0.64      
10M  100    20     50     30     10     100    -1     -1     1      1      1        0      0.0% -0.39     
10M  100    20     50     30     40     40     1      0      1      1      1        1      100.0% 0.18      
10M  100    20     50     30     100    100    -1     -1     0      0      1        0      0.0% -0.55     
10M  100    20     60     30     10     70     0      -1     0      0      1        0      0.0% -0.42     
10M  100    20     60     50     10     70     -1     0      1      1      1        1      100.0% 0.47      
10M  100    20     60     50     100    100    0      -1     0      0      1        1      100.0% 0.17      
10M  100    20     70     40     50     50     0      1      0      0      1        0      0.0% -0.82     
10M  100    20     70     50     50     50     -1     1      0      0      1        1      100.0% 0.57      
10M  100    20     70     100    40     100    -1     0      1      1      1        1      100.0% 0.03      
10M  100    20     90     40     80     70     1      0      1      1      1        0      0.0% -0.49     
10M  100    20     90     90     100    100    0      0      -1     -1     1        1      100.0% 0.15      
10M  100    20     100    50     100    100    0      -1     0      0      1        1      100.0% 0.52      
10M  100    20     100    60     80     50     1      -1     -1     -1     1        0      0.0% -0.97     
10M  100    20     100    90     100    100    1      1      -1     -1     1        1      100.0% 0.26      
10M  100    20     100    90     100    100    1      1      0      0      1        1      100.0% 0.10      
10M  100    30     20     40     60     100    -1     -1     0      0      1        1      100.0% 0.24      
10M  100    30     20     50     70     100    -1     1      -1     -1     1        0      0.0% -0.29     
10M  100    30     20     60     50     100    0      0      -1     -1     1        1      100.0% 0.18      
10M  100    30     40     20     70     100    0      0      1      1      1        0      0.0% -0.97     
10M  100    30     50     30     30     60     -1     0      1      1      1        0      0.0% -0.69     
10M  100    30     60     20     30     50     1      -1     0      0      1        0      0.0% -0.56     
10M  100    30     60     60     100    80     -1     -1     0      0      1        0      0.0% -0.59     
10M  100    30     70     50     40     100    -1     -1     1      1      1        0      0.0% -0.33     
10M  100    30     90     10     100    100    1      0      -1     -1     1        0      0.0% -0.77     
10M  100    30     90     80     100    90     0      0      -1     -1     1        0      0.0% -0.64     
10M  100    30     90     90     100    100    0      -1     0      0      1        0      0.0% -0.52     
10M  100    40     40     60     90     100    -1     0      -1     -1     1        0      0.0% -0.21     
10M  100    40     50     70     100    100    0      0      -1     -1     1        0      0.0% -0.94     
10M  100    40     70     80     30     100    0      -1     0      0      1        0      0.0% -0.58     
10M  100    40     80     70     90     100    -1     -1     0      0      1        0      0.0% -0.67     
10M  100    50     10     70     100    100    -1     1      0      0      1        1      100.0% 0.92      
10M  100    50     30     10     40     70     -1     -1     0      0      1        1      100.0% 0.04      
10M  100    50     60     50     10     100    -1     -1     0      0      1        1      100.0% 0.11      
10M  100    60     60     10     50     80     1      -1     0      0      1        0      0.0% -0.41     
10M  100    60     80     70     30     90     -1     0      1      1      1        1      100.0% 0.42      
10M  100    60     90     90     100    100    0      -1     0      0      1        0      0.0% -0.68     
10M  100    60     90     100    100    100    0      -1     0      0      1        1      100.0% 0.17      
10M  100    70     50     20     10     70     1      0      1      1      1        0      0.0% -0.20     
10M  100    70     70     40     10     100    -1     0      1      1      1        1      100.0% 0.63      
10M  100    80     30     60     60     60     1      0      1      1      1        1      100.0% 0.03      
10M  100    90     40     100    70     100    0      1      0      0      1        1      100.0% 0.44      
10M  100    100    10     80     100    100    -1     1      0      0      1        1      100.0% 0.12      
10M  100    100    10     100    90     100    0      1      0      0      1        1      100.0% 1.14      
10M  100    100    50     10     90     80     1      0      -1     -1     1        0      0.0% -0.39     
10M  100    100    60     10     30     70     0      -1     0      0      1        1      100.0% 0.18      
10M  100    100    80     40     80     90     1      -1     0      0      1        0      0.0% -0.18     
15M  20     50     60     30     20     20     1      1      0      0      1        0      0.0% -0.36     
15M  30     20     50     30     20     20     0      -1     0      0      1        0      0.0% -0.68     
15M  30     20     80     80     40     30     1      0      -1     -1     1        1      100.0% 0.27      
15M  30     40     40     30     10     20     -1     1      0      0      1        0      0.0% -0.25     
15M  30     100    10     80     80     50     0      -1     0      0      1        1      100.0% 0.21      
15M  30     100    10     100    70     30     0      1      1      1      1        0      0.0% -0.50     
15M  30     100    20     80     30     40     0      -1     -1     -1     1        0      0.0% -0.25     
15M  40     20     30     60     80     90     0      -1     0      0      1        0      0.0% -0.52     
15M  40     20     30     90     40     30     -1     -1     -1     -1     1        1      100.0% 0.05      
15M  40     20     40     30     40     40     0      0      -1     -1     1        1      100.0% 0.11      
