=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-29 14:10:06
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
10M  30     40     40     100    20     20     0      0      0      0      1        0      0.0% -0.12     
10M  40     10     10     60     80     50     0      0      0      0      1        0      0.0% -0.13     
10M  40     10     10     100    60     60     1      0      0      0      1        0      0.0% -0.13     
10M  40     10     20     10     50     20     0      0      0      0      1        0      0.0% -0.16     
10M  40     10     20     50     70     40     -1     0      0      0      1        0      0.0% -0.21     
10M  40     10     20     60     40     20     0      0      0      0      1        0      0.0% -0.11     
10M  40     10     20     100    60     30     0      0      0      0      1        0      0.0% -0.11     
10M  40     10     30     50     40     30     -1     0      1      1      1        1      100.0% 0.09      
10M  40     10     30     50     50     30     -1     -1     0      0      1        0      0.0% -0.17     
10M  40     10     30     50     60     60     -1     0      0      0      1        0      0.0% -0.34     
10M  40     10     30     70     10     30     0      0      0      0      1        0      0.0% -0.09     
10M  40     10     40     30     30     30     0      0      -1     -1     1        1      100.0% 0.12      
10M  40     10     40     30     30     50     -1     0      0      0      1        1      100.0% 0.13      
10M  40     10     40     40     10     30     1      0      0      0      1        0      0.0% -0.09     
10M  40     10     40     40     10     60     1      1      0      0      1        0      0.0% -0.17     
10M  40     10     40     40     40     20     -1     0      0      0      1        0      0.0% -0.37     
10M  40     10     40     40     80     20     1      0      0      0      1        1      100.0% 0.14      
10M  40     10     40     50     30     50     0      0      0      0      1        0      0.0% -0.08     
10M  40     10     40     50     50     60     0      0      0      0      1        0      0.0% -0.21     
10M  40     10     40     90     60     30     -1     0      0      0      1        1      100.0% 0.20      
10M  40     10     50     10     10     10     -1     0      1      1      1        0      0.0% -0.17     
10M  40     10     50     10     10     30     -1     0      1      1      1        0      0.0% -0.34     
10M  40     10     50     10     30     10     1      0      0      0      1        1      100.0% 0.06      
10M  40     10     50     10     30     30     -1     0      0      0      1        0      0.0% -0.10     
10M  40     10     50     10     40     10     0      0      0      0      1        0      0.0% -0.18     
10M  40     10     50     20     30     10     -1     0      0      0      1        1      100.0% 0.50      
10M  40     10     50     20     30     10     0      0      0      0      1        1      100.0% 0.43      
10M  40     10     50     20     40     30     -1     0      0      0      1        1      100.0% 0.26      
10M  40     10     50     20     60     100    0      0      0      0      1        0      0.0% -0.34     
10M  40     10     50     30     10     30     -1     0      -1     -1     1        1      100.0% 0.20      
10M  40     10     50     30     40     20     1      0      0      0      1        1      100.0% 0.08      
10M  40     10     50     100    10     40     0      -1     0      0      1        0      0.0% -0.02     
10M  40     10     60     20     10     20     -1     0      0      0      1        1      100.0% 0.43      
10M  40     10     60     20     10     30     -1     -1     0      0      1        0      0.0% -0.07     
10M  40     10     60     20     10     40     1      0      1      1      1        0      0.0% -0.09     
10M  40     10     60     20     20     50     0      0      0      0      1        1      100.0% 0.09      
10M  40     10     60     20     40     40     0      0      0      0      1        0      0.0% -0.28     
10M  40     10     60     30     10     50     0      0      1      1      1        0      0.0% -0.09     
10M  40     10     60     40     50     40     0      0      0      0      1        1      100.0% 0.13      
10M  40     10     60     100    10     80     0      0      0      0      1        1      100.0% 0.01      
10M  40     10     70     10     10     10     0      -1     -1     -1     1        1      100.0% 0.10      
10M  40     10     70     20     30     20     1      0      0      0      1        0      0.0% -0.16     
10M  40     10     70     20     30     40     0      0      0      0      1        0      0.0% -0.08     
10M  40     10     70     20     40     30     -1     0      -1     -1     1        0      0.0% -0.23     
10M  40     10     70     20     80     50     0      1      0      0      1        0      0.0% -0.16     
10M  40     10     70     30     20     10     0      0      -1     -1     1        1      100.0% 0.27      
10M  40     10     70     30     20     20     0      0      0      0      1        0      0.0% -0.10     
10M  40     10     70     30     30     20     1      0      0      0      1        0      0.0% -0.28     
10M  40     10     70     50     10     40     1      0      -1     -1     1        0      0.0% -0.11     
10M  40     10     70     60     50     20     0      1      0      0      1        0      0.0% -0.34     
10M  40     10     80     10     60     50     1      0      0      0      1        1      100.0% 0.03      
10M  40     10     80     20     30     10     1      0      0      0      1        0      0.0% -0.10     
10M  40     10     80     30     50     60     0      0      0      0      1        0      0.0% -0.06     
10M  40     10     80     30     60     70     1      0      0      0      1        0      0.0% -0.11     
10M  40     10     80     50     50     60     1      1      0      0      1        0      0.0% -0.16     
10M  40     10     90     40     50     40     0      0      0      0      1        0      0.0% -0.05     
10M  40     10     90     50     60     30     1      0      -1     -1     1        0      0.0% -0.14     
10M  40     10     90     50     60     40     1      0      0      0      1        0      0.0% -0.26     
10M  40     10     90     60     80     60     -1     0      0      0      1        0      0.0% -0.21     
10M  40     10     100    50     70     40     1      0      0      0      1        0      0.0% -0.10     
10M  40     20     70     10     30     30     0      0      0      0      1        0      0.0% -0.15     
10M  40     20     70     30     10     70     1      0      0      0      1        0      0.0% -0.20     
10M  40     20     90     50     20     100    0      0      1      1      1        0      0.0% -0.11     
10M  40     30     40     20     40     30     1      0      0      0      1        0      0.0% -0.17     
10M  40     60     40     20     40     50     0      0      -1     -1     1        0      0.0% -0.08     
10M  50     10     10     40     30     60     -1     -1     0      0      1        0      0.0% -0.16     
10M  50     10     20     20     30     70     0      0      0      0      1        1      100.0% 0.30      
10M  50     10     20     60     50     60     0      0      0      0      1        1      100.0% 0.15      
10M  50     10     30     30     50     70     -1     0      0      0      1        0      0.0% -0.10     
10M  50     10     30     40     40     50     -1     0      0      0      1        0      0.0% -0.11     
10M  50     10     30     60     70     50     1      -1     0      0      1        1      100.0% 0.18      
10M  50     10     30     70     70     40     1      0      0      0      1        0      0.0% -0.13     
10M  50     10     40     10     20     40     0      -1     1      1      1        0      0.0% -0.16     
10M  50     10     40     10     30     20     0      0      1      1      1        0      0.0% -0.18     
10M  50     10     40     20     20     10     0      0      0      0      1        1      100.0% 0.10      
10M  50     10     40     20     20     30     0      0      0      0      1        0      0.0% -0.25     
10M  50     10     40     30     60     40     -1     -1     1      1      1        0      0.0% -0.10     
10M  50     10     40     40     50     30     -1     0      1      1      1        1      100.0% 0.16      
10M  50     10     40     40     60     80     -1     0      1      1      1        1      100.0% 0.14      
10M  50     10     40     50     50     40     -1     0      0      0      1        1      100.0% 0.05      
10M  50     10     40     60     60     30     -1     0      0      0      1        0      0.0% -0.08     
10M  50     10     40     60     80     40     0      0      0      0      1        0      0.0% -0.17     
10M  50     10     40     70     80     40     -1     0      0      0      1        0      0.0% -0.18     
10M  50     10     50     10     20     20     -1     0      0      0      1        1      100.0% 0.07      
10M  50     10     50     10     20     30     -1     0      1      1      1        0      0.0% -0.14     
10M  50     10     50     10     20     30     1      0      -1     -1     1        1      100.0% 0.47      
10M  50     10     50     10     30     90     -1     0      0      0      1        1      100.0% 0.33      
10M  50     10     50     30     30     10     1      0      0      0      1        1      100.0% 0.15      
10M  50     10     50     40     20     40     1      0      1      1      1        0      0.0% -0.10     
10M  50     10     50     40     20     50     0      0      0      0      1        0      0.0% -0.20     
10M  50     10     60     10     20     30     0      0      1      1      1        1      100.0% 0.25      
10M  50     10     60     10     30     40     1      1      0      0      1        1      100.0% 0.21      
10M  50     10     60     10     50     50     -1     0      0      0      1        1      100.0% 0.20      
10M  50     10     60     20     10     40     1      0      -1     -1     1        1      100.0% 0.07      
10M  50     10     60     20     20     40     1      0      0      0      1        1      100.0% 0.09      
10M  50     10     60     20     30     20     0      0      0      0      1        0      0.0% -0.07     
10M  50     10     60     20     50     40     0      0      0      0      1        0      0.0% -0.17     
10M  50     10     60     30     30     10     -1     0      0      0      1        1      100.0% 0.08      
10M  50     10     60     30     60     30     0      0      0      0      1        0      0.0% -0.09     
10M  50     10     60     40     10     20     1      0      0      0      1        0      0.0% -0.12     
10M  50     10     60     40     10     40     0      0      0      0      1        0      0.0% -0.03     
10M  50     10     60     60     50     40     -1     0      0      0      1        1      100.0% 0.13      
10M  50     10     70     10     40     70     -1     0      0      0      1        0      0.0% -0.19     
